Date,Open,High,Low,Close
12/19/07,801.52,806.34,801.42,803.43
12/20/07,800.14,800.64,794.84,799.84
12/21/07,793.49,805.89,793.49,805.00
12/24/07,800.06,802.62,798.38,801.34
12/26/07,799.86,810.85,799.86,809.96
12/27/07,808.94,816.50,808.94,812.67
12/28/07,810.63,823.97,810.63,823.38
12/31/07,840.26,840.26,840.26,831.99
1/2/08,843.30,852.34,841.02,851.55
1/3/08,853.86,856.34,847.23,857.23
1/4/08,864.25,868.37,863.05,865.96
1/7/08,865.40,865.40,861.88,864.09
1/8/08,867.32,885.24,867.32,883.83
1/9/08,893.67,893.67,884.58,888.11
1/10/08,889.20,898.68,888.40,898.98
1/11/08,907.31,917.41,907.21,913.74
1/14/08,922.99,922.99,920.65,917.19
1/15/08,902.67,902.67,902.67,916.30
1/16/08,901.78,907.21,901.78,901.88
1/17/08,914.92,914.92,903.17,905.95
1/18/08,895.44,910.85,894.62,904.68
1/22/08,903.18,915.82,887.24,914.38
1/23/08,905.09,916.04,899.98,902.54
1/24/08,894.39,910.15,894.39,909.05
1/25/08,916.55,916.55,916.55,916.55
1/28/08,920.65,926.07,918.54,931.20
1/29/08,923.71,923.71,923.71,923.81
1/30/08,917.79,929.61,908.76,914.02
1/31/08,931.27,931.37,921.34,925.75
2/1/08,917.82,929.14,896.88,901.85
2/4/08,897.95,906.20,886.82,899.15
2/5/08,911.02,911.12,890.49,891.70
2/6/08,893.35,915.59,892.95,906.23
2/7/08,909.15,917.93,904.91,914.70
2/8/08,915.12,919.82,911.32,918.22
2/11/08,922.08,928.29,918.88,924.29
2/12/08,921.92,925.73,905.11,908.31
2/13/08,900.57,906.95,894.78,904.06
2/14/08,904.54,911.55,904.54,907.94
2/15/08,916.70,920.23,905.22,909.35
2/19/08,920.31,945.25,916.45,943.01
2/20/08,938.32,957.06,931.33,946.53
2/21/08,950.65,964.10,950.65,956.72
2/22/08,956.47,960.12,954.04,956.27
2/25/08,942.07,944.46,928.64,933.21
2/26/08,915.28,932.68,915.28,929.83
2/27/08,941.36,941.36,936.46,939.60
2/28/08,933.96,948.30,931.03,940.88
2/29/08,956.29,957.96,948.51,956.98
3/3/08,974.17,976.84,969.71,971.49
3/4/08,976.44,978.53,957.96,958.06
3/5/08,950.65,977.93,949.56,971.53
3/6/08,970.81,974.16,960.06,961.63
3/7/08,972.97,975.05,962.68,962.48
3/10/08,972.29,973.59,961.53,966.71
3/11/08,967.00,967.99,962.83,965.51
3/12/08,963.86,969.51,963.77,969.01
3/13/08,966.31,980.84,966.31,974.75
3/14/08,983.38,993.96,982.49,987.63
3/17/08,1002.29,1011.87,993.72,998.70
3/18/08,997.02,1003.38,971.79,996.62
3/19/08,993.31,993.31,951.82,958.21
3/20/08,962.62,966.00,939.88,941.83
3/24/08,930.86,937.47,930.55,933.71
3/25/08,947.71,949.74,943.33,950.86
3/26/08,966.51,966.51,966.51,965.90
3/27/08,963.98,963.98,962.25,965.40
3/28/08,968.91,972.59,942.63,951.63
3/31/08,955.26,964.60,935.77,940.08
4/1/08,935.58,940.49,891.41,902.76
4/2/08,897.10,919.93,894.26,908.46
4/3/08,904.91,911.24,893.26,908.73
4/4/08,912.09,922.37,906.14,916.42
4/7/08,928.86,940.94,925.82,936.37
4/8/08,936.18,937.30,921.09,925.85
4/9/08,932.89,952.74,920.77,950.81
4/10/08,949.82,957.88,940.74,946.76
4/11/08,941.25,953.12,941.25,945.34
4/14/08,934.09,946.73,932.67,942.65
4/15/08,940.57,952.48,940.57,945.05
4/16/08,927.48,948.98,927.48,945.38
4/17/08,953.74,957.38,948.09,949.20
4/18/08,940.23,940.23,911.30,916.32
4/21/08,927.79,929.90,919.34,919.94
4/22/08,929.23,930.24,923.59,929.74
4/23/08,932.66,937.44,914.34,921.87
4/24/08,915.21,917.65,897.67,899.39
4/25/08,890.31,905.92,890.21,899.43
4/28/08,898.41,905.30,898.41,904.39
4/29/08,902.33,902.33,881.05,885.71
4/30/08,874.91,881.46,869.17,868.97
5/1/08,872.63,873.65,867.12,866.40
5/2/08,869.74,874.22,869.74,872.59
5/5/08,872.01,883.76,872.01,883.25
5/6/08,874.75,883.87,874.75,878.46
5/7/08,876.41,877.83,873.18,878.03
5/8/08,886.06,898.58,886.06,895.83
5/9/08,888.61,889.41,888.61,889.21
5/12/08,883.71,891.04,883.71,888.23
5/13/08,866.19,873.72,866.19,871.81
5/14/08,866.18,872.00,866.18,868.79
5/15/08,865.45,885.95,865.45,878.65
5/16/08,891.29,903.48,891.29,898.28
5/19/08,897.46,897.46,897.46,897.46
5/20/08,912.56,912.56,912.56,912.56
5/21/08,908.24,908.73,907.95,912.67
5/22/08,902.97,902.97,902.97,903.27
5/23/08,907.46,915.18,906.57,916.07
5/27/08,906.74,906.74,901.27,902.47
5/28/08,891.32,891.32,891.32,891.32
5/29/08,892.56,892.75,862.01,867.06
5/30/08,874.43,882.67,862.90,881.48
6/2/08,888.90,899.62,883.39,894.51
6/3/08,898.15,904.51,882.81,889.88
6/4/08,894.98,901.70,891.42,895.39
6/5/08,890.62,893.36,879.74,886.25
6/6/08,895.70,918.64,894.88,912.93
6/9/08,921.81,930.20,911.37,915.67
6/10/08,905.80,905.80,884.76,886.70
6/11/08,886.88,899.63,886.88,897.29
6/12/08,895.08,895.08,879.30,890.57
6/13/08,895.83,895.83,885.74,895.83
6/16/08,894.05,915.05,892.82,905.42
6/17/08,900.14,903.81,892.91,901.06
6/18/08,903.45,907.42,900.50,906.40
6/19/08,902.68,920.87,902.68,915.99
6/20/08,918.87,922.43,916.02,916.33
6/23/08,917.53,917.53,892.95,898.64
6/24/08,900.31,901.93,896.16,899.91
